School Name,School Code,District Name,Number of Test Takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
"Albert Einstein Academy for Letters, Arts and Scie",19651360121731,William S. Hart Union High,0,null,null,null,null,null%
Canyon High,19651361931492,William S. Hart Union High,291,497,509,492,147,50.52%
Saugus High,19651361931740,William S. Hart Union High,280,535,541,518,174,62.14%
Learning Post High (Alternative),19651361932532,William S. Hart Union High,7,null,null,null,null,null%
William S. Hart High,19651361933902,William S. Hart Union High,287,523,534,510,161,56.1%
Bowman (Jereann) High (Continuation),19651361934421,William S. Hart Union High,1,null,null,null,null,null%
Valencia High,19651361995802,William S. Hart Union High,493,529,544,528,298,60.45%
Opportunities for Learning - Santa Clarita,19651361996263,William S. Hart Union High,18,492,439,489,8,44.44%
Academy of the Canyons,19651361996321,William S. Hart Union High,82,610,591,596,67,81.71%
Centennial High,19734371931567,Compton Unified,83,366,362,372,2,2.41%
Compton High,19734371931963,Compton Unified,146,394,378,394,11,7.53%
Dominguez High,19734371932326,Compton Unified,153,413,406,410,17,11.11%
Thurgood Marshall,19734371996057,Compton Unified,4,null,null,null,null,null%
Puente Hills High,19734451933316,Hacienda la Puente Unified,0,null,null,null,null,null%
La Puente High,19734451934801,Hacienda la Puente Unified,139,424,429,423,24,17.27%
Los Altos High,19734451935246,Hacienda la Puente Unified,276,471,475,464,92,33.33%
Glen A. Wilson High,19734451939834,Hacienda la Puente Unified,253,520,575,531,161,63.64%
William Workman High,19734451939925,Hacienda la Puente Unified,90,420,451,415,13,14.44%
iQ Academy California-Los Angeles,19734520120600,Rowland Unified,2,null,null,null,null,null%
Nogales High,19734521936228,Rowland Unified,176,442,470,436,46,26.14%
John A. Rowland High,19734521937564,Rowland Unified,317,535,597,541,221,69.72%
Diamond Bar High,19734601932862,Walnut Valley Unified,595,558,615,568,453,76.13%
Walnut High,19734601939149,Walnut Valley Unified,583,558,598,559,429,73.58%
Gabrielino High,19752911995810,San Gabriel Unified,282,522,557,518,176,62.41%
Options for Youth San Gabriel,19752911996016,San Gabriel Unified,26,474,413,455,5,19.23%
Del Mar High,19752911996081,San Gabriel Unified,1,null,null,null,null,null%
Assurance Learning Academy,19753090127100,Acton-Agua Dulce Unified,2,null,null,null,null,null%
Hope Charter Academy,19753090129742,Acton-Agua Dulce Unified,0,null,null,null,null,null%
Academy of Arts and Sciences: Los Angeles (9-12),19753090130781,Acton-Agua Dulce Unified,0,null,null,null,null,null%
SIATech Academy South,19753090131383,Acton-Agua Dulce Unified,0,null,null,null,null,null%
Vasquez High,19753091995786,Acton-Agua Dulce Unified,38,517,486,500,20,52.63%
Mira Costa High,19753331935808,Manhattan Beach Unified,415,571,584,577,338,81.45%
Redondo Union High,19753411937143,Redondo Beach Unified,391,526,540,520,238,60.87%
Redondo Shores High (Continuation),19753411995752,Redondo Beach Unified,1,null,null,null,null,null%
School of Arts and Enterprise,19756971996693,SBE - The School of Arts and Enterprise,40,453,427,473,10,25%
Century High,19757131930122,Alhambra Unified,2,null,null,null,null,null%
Alhambra High,19757131930163,Alhambra Unified,388,480,524,470,178,45.88%
Mark Keppel High,19757131934553,Alhambra Unified,436,521,595,526,289,66.28%
San Gabriel High,19757131937697,Alhambra Unified,339,475,535,473,159,46.9%
Independence High (Alternative),19757131995430,Alhambra Unified,1,null,null,null,null,null%
Lifeline Education Charter,19764970115725,SBE - Lifeline Education Charter,33,346,306,359,0,0%
Da Vinci Science,19768690119016,Wiseburn Unified,104,472,478,467,31,29.81%
Da Vinci Design,19768690119636,Wiseburn Unified,97,459,442,459,28,28.87%
Anahuacalmecac International University Preparator,19768850130799,SBE - Anahuacalmecac International Preparatory Hig,0,null,null,null,null,null%
Madera County Independent Academy,20102070117184,Madera County Office of Education,0,null,null,null,null,null%
Pioneer Technical Center,20102072030229,Madera County Office of Education,0,null,null,null,null,null%
Chowchilla Union High,20652012032357,Chowchilla Union High,87,443,440,439,16,18.39%
Madera South High,20652430110965,Madera Unified,264,414,417,414,27,10.23%
Sherman Thomas Charter High,20652430118950,Madera Unified,2,null,null,null,null,null%
Furman (Duane E.) High (Independent Study Program),20652432035640,Madera Unified,0,null,null,null,null,null%
Madera High,20652432035707,Madera Unified,214,453,455,455,64,29.91%
Liberty High,20755802030203,Golden Valley Unified,82,494,467,472,30,36.59%
Minarets High,20756060117010,Chawanakee Unified,36,516,469,472,15,41.67%
Minarets Charter High,20756060125021,Chawanakee Unified,26,492,453,463,8,30.77%
Chawanakee Academy,20756066114862,Chawanakee Unified,1,null,null,null,null,null%
Yosemite High,20764142030013,Yosemite Unified,64,516,524,500,39,60.94%
Evergreen High,20764142030104,Yosemite Unified,0,null,null,null,null,null%
Glacier High School Charter,20764142030237,Yosemite Unified,6,null,null,null,null,null%
Nova Education Center,21654172130045,Novato Unified,4,null,null,null,null,null%
Marin Oaks High,21654172132264,Novato Unified,1,null,null,null,null,null%
Novato High,21654172132272,Novato Unified,207,534,533,533,133,64.25%
San Marin High,21654172133056,Novato Unified,106,528,532,526,65,61.32%
San Rafael High,21654662133262,San Rafael City High,135,494,518,503,69,51.11%
Terra Linda High,21654662134005,San Rafael City High,148,522,518,529,85,57.43%
Tamiscal High (Alternative),21654822130078,Tamalpais Union High,27,574,554,559,23,85.19%
Sir Francis Drake High,21654822131340,Tamalpais Union High,134,576,569,566,105,78.36%
Redwood High,21654822132587,Tamalpais Union High,241,583,593,579,206,85.48%
Tamalpais High,21654822133692,Tamalpais Union High,205,578,571,576,165,80.49%
San Andreas High (Continuation),21654822134419,Tamalpais Union High,2,null,null,null,null,null%
Tomales High,21733612134310,Shoreline Unified,23,471,491,468,9,39.13%
Sierra Home,22655322230068,Mariposa County Unified,0,null,null,null,null,null%
Mariposa County High,22655322235356,Mariposa County Unified,39,534,550,513,28,71.79%
Anderson Valley Junior-Senior High,23655402330900,Anderson Valley Unified,18,463,526,484,7,38.89%
Fort Bragg High,23655652331361,Fort Bragg Unified,51,510,485,495,24,47.06%
Mendocino High,23655812333185,Mendocino Unified,18,582,522,527,15,83.33%
Point Arena High,23655992333649,Point Arena Joint Union High,12,472,448,440,3,25%
Round Valley High,23656072334563,Round Valley Unified,3,null,null,null,null,null%
Ukiah Independent Study Academy,23656150128280,Ukiah Unified,0,null,null,null,null,null%
Redwood Academy of Ukiah,23656152330413,Ukiah Unified,13,566,552,540,11,84.62%
Accelerated Achievement Academy,23656152330454,Ukiah Unified,0,null,null,null,null,null%
Ukiah High,23656152335024,Ukiah Unified,106,519,533,515,60,56.6%
New Horizons,23656232330314,Willits Unified,2,null,null,null,null,null%
Willits Charter,23656232330363,Willits Unified,3,null,null,null,null,null%
Willits High,23656232335487,Willits Unified,31,503,475,473,12,38.71%
Potter Valley High,23738662330041,Potter Valley Community Unified,11,491,439,456,3,27.27%
Laytonville High,23739162332260,Laytonville Unified,10,null,null,null,null,null%
Leggett Valley High,23752182332724,Leggett Valley Unified,1,null,null,null,null,null%
Merced Scholars Charter,24102490106518,Merced County Office of Education,3,null,null,null,null,null%
Hilmar High,24656982432409,Hilmar Unified,57,462,453,447,17,29.82%
Le Grand High,24657302433001,Le Grand Union High,59,415,413,425,5,8.47%
Crossroads Alternative Education Center,24657550119073,Los Banos Unified,0,null,null,null,null,null%
Pacheco High,24657550120923,Los Banos Unified,157,445,451,441,39,24.84%
Los Banos High,24657552434207,Los Banos Unified,103,457,465,458,29,28.16%
Independence High (Alternative),24657892430049,Merced Union High,0,null,null,null,null,null%
Golden Valley High,24657892430098,Merced Union High,179,434,446,436,51,28.49%
Buhach Colony High,24657892430205,Merced Union High,197,443,447,438,44,22.34%
Atwater High,24657892430601,Merced Union High,187,451,446,433,40,21.39%
Livingston High,24657892433605,Merced Union High,108,448,442,442,18,16.67%
Merced High,24657892435204,Merced Union High,241,482,491,465,90,37.34%
Gustine High,24736192431807,Gustine Unified,52,443,444,452,15,28.85%
Dos Palos High,24753172431203,Dos Palos Oro Loma Joint Unified,63,431,429,422,9,14.29%
Shattuck Independent Study,24753660114538,Delhi Unified,0,null,null,null,null,null%
Delhi High,24753662430114,Delhi Unified,88,399,403,419,8,9.09%
Surprise Valley High,25658962537702,Surprise Valley Joint Unified,3,null,null,null,null,null%
Modoc High,25735852535409,Modoc Joint Unified,13,515,518,500,8,61.54%
Tulelake High,25735934737250,Tulelake Basin Joint Unified,8,null,null,null,null,null%
Urban Corps of San Diego County Charter,26102640124990,Mono County Office of Education,0,null,null,null,null,null%
California Heritage Youthbuild Academy,26102640125633,Mono County Office of Education,0,null,null,null,null,null%
Orange County Conservation Corps Charter,26102640126698,Mono County Office of Education,0,null,null,null,null,null%
Coleville High,26736682633006,Eastern Sierra Unified,10,null,null,null,null,null%
Lee Vining High,26736682635001,Eastern Sierra Unified,17,481,452,489,6,35.29%
Mammoth High,26736922630010,Mammoth Unified,39,500,505,492,20,51.28%
Monterey County Home Charter,27102722730232,Monterey County Office of Education,3,null,null,null,null,null%
Carmel High,27659872730414,Carmel Unified,40,601,584,575,32,80%
Greenfield High,27660682730174,South Monterey County Joint Union High,49,429,389,427,5,10.2%
King City High,27660682732170,South Monterey County Joint Union High,46,470,463,457,15,32.61%
Marina High,27660920111435,Monterey Peninsula Unified,59,479,478,454,20,33.9%
Learning for Life Charter,27660922730240,Monterey Peninsula Unified,1,null,null,null,null,null%
Monterey High,27660922732808,Monterey Peninsula Unified,172,493,492,491,81,47.09%
Seaside High,27660922735348,Monterey Peninsula Unified,114,433,452,423,23,20.18%
Pacific Grove High,27661342733657,Pacific Grove Unified,88,561,547,542,61,69.32%
El Puente,27661590124610,Salinas Union High,3,null,null,null,null,null%
Alisal High,27661592730109,Salinas Union High,224,437,449,431,51,22.77%
Everett Alvarez High,27661592730166,Salinas Union High,215,450,438,446,44,20.47%
North Salinas High,27661592733178,Salinas Union High,129,453,445,448,32,24.81%
Salinas High,27661592734556,Salinas Union High,244,499,504,487,121,49.59%
North Monterey County High,27738252730034,North Monterey County Unified,94,449,424,437,24,25.53%
North Monterey County Center for Independent Study,27738252730125,North Monterey County Unified,2,null,null,null,null,null%
Soledad High,27754402730190,Soledad Unified,117,447,449,428,25,21.37%
Gonzales High,27754732730885,Gonzales Unified,79,428,397,425,11,13.92%
Calistoga Junior-Senior High,28662412831758,Calistoga Joint Unified,26,428,430,432,2,7.69%
Napa Valley Independent Studies,28662660101964,Napa Valley Unified,3,null,null,null,null,null%
American Canyon High,28662660121087,Napa Valley Unified,160,469,463,470,57,35.63%
Vintage High,28662662830016,Napa Valley Unified,201,491,494,489,92,45.77%
New Technology High,28662662830115,Napa Valley Unified,43,522,469,500,22,51.16%
Napa High,28662662835601,Napa Valley Unified,168,513,521,500,83,49.4%
Saint Helena High,28662902837102,Saint Helena Unified,51,523,471,513,24,47.06%
Bitney College Preparatory High,29102980114314,Nevada County Office of Education,24,506,473,482,11,45.83%
Forest Charter,29102980126219,Nevada County Office of Education,30,522,500,508,18,60%
EPIC de Cesar Chavez,29102980130823,Nevada County Office of Education,0,null,null,null,null,null%
Muir Charter,29102982930147,Nevada County Office of Education,1,null,null,null,null,null%
William & Marian Ghidotti High,29663570112367,Nevada Joint Union High,32,622,608,576,29,90.63%
North Point Academy,29663572930030,Nevada Joint Union High,0,null,null,null,null,null%
Bear River High,29663572930048,Nevada Joint Union High,70,555,555,540,57,81.43%
Nevada Union High,29663572935500,Nevada Joint Union High,122,550,552,534,83,68.03%
Vantage Point Charter,29768776111371,Penn Valley Union Elementary,0,null,null,null,null,null%
OCCS:CHEP/PCHS,30103063030632,Orange County Department of Education,39,531,527,528,26,66.67%
Cypress High,30664313030038,Anaheim Union High,369,521,551,513,211,57.18%
Anaheim High,30664313030228,Anaheim Union High,255,436,448,432,56,21.96%
Polaris High (Alternative),30664313030384,Anaheim Union High,0,null,null,null,null,null%
Oxford Academy,30664313030616,Anaheim Union High,167,627,669,634,164,98.2%
Gilbert High (Continuation),30664313032786,Anaheim Union High,1,null,null,null,null,null%
Katella High,30664313033057,Anaheim Union High,268,444,451,428,59,22.01%
John F. Kennedy High,30664313033115,Anaheim Union High,309,524,551,529,196,63.43%
Loara High,30664313033784,Anaheim Union High,215,441,455,445,54,25.12%
Magnolia High,30664313034204,Anaheim Union High,159,442,447,443,38,23.9%
Savanna High,30664313036712,Anaheim Union High,192,437,455,444,46,23.96%
Western High,30664313038239,Anaheim Union High,138,462,483,444,44,31.88%
Brea Canyon High (Continuation),30664493030624,Brea-Olinda Unified,1,null,null,null,null,null%
Brea-Olinda High,30664493030640,Brea-Olinda Unified,251,520,545,521,155,61.75%
Capistrano Connections Academy,30664640106765,Capistrano Unified,53,537,513,512,34,64.15%
San Juan Hills High,30664640113381,Capistrano Unified,262,545,533,534,167,63.74%
California Preparatory Academy,30664640124131,Capistrano Unified,6,null,null,null,null,null%
Capistrano Valley High,30664643030210,Capistrano Unified,331,542,558,537,227,68.58%
Aliso Niguel High,30664643030574,Capistrano Unified,417,563,574,548,312,74.82%
Tesoro High,30664643030756,Capistrano Unified,339,549,569,545,247,72.86%
Junipero Serra High,30664643035987,Capistrano Unified,4,null,null,null,null,null%
San Clemente High,30664643036001,Capistrano Unified,406,537,530,522,266,65.52%
Dana Hills High,30664643038569,Capistrano Unified,362,540,541,527,243,67.13%
Opportunities for Learning - Capistrano,30664646120356,Capistrano Unified,3,null,null,null,null,null%
La Sierra High (Alternative),30665143030335,Fullerton Joint Union High,1,null,null,null,null,null%
Buena Park High,30665143030855,Fullerton Joint Union High,241,456,456,449,68,28.22%
Fullerton Union High,30665143032505,Fullerton Joint Union High,205,494,518,499,103,50.24%
La Habra High,30665143033362,Fullerton Joint Union High,235,491,501,474,103,43.83%
La Vista High (Continuation),30665143033610,Fullerton Joint Union High,2,null,null,null,null,null%
Sonora High,30665143037090,Fullerton Joint Union High,219,511,530,517,131,59.82%
Sunny Hills High,30665143037348,Fullerton Joint Union High,387,538,586,551,281,72.61%
Troy High,30665143037496,Fullerton Joint Union High,541,611,653,617,470,86.88%
Bolsa Grande High,30665223030434,Garden Grove Unified,359,490,521,491,174,48.47%
Garden Grove High,30665223032752,Garden Grove Unified,354,475,499,476,140,39.55%
La Quinta High,30665223033578,Garden Grove Unified,411,495,552,497,236,57.42%
Los Amigos High,30665223033933,Garden Grove Unified,210,436,455,441,52,24.76%
Pacifica High,30665223035581,Garden Grove Unified,268,501,522,498,135,50.37%
Rancho Alamitos High,30665223035706,Garden Grove Unified,213,476,503,478,84,39.44%
Santiago High,30665223036555,Garden Grove Unified,279,451,455,443,64,22.94%
Ocean View High,30665483030145,Huntington Beach Union High,170,481,486,472,64,37.65%
Coast High,30665483030368,Huntington Beach Union High,4,null,null,null,null,null%
Edison High,30665483031895,Huntington Beach Union High,302,541,554,534,208,68.87%
Fountain Valley High,30665483032158,Huntington Beach Union High,515,542,578,543,362,70.29%
Huntington Beach High,30665483032943,Huntington Beach Union High,384,542,558,534,266,69.27%
Marina High,30665483034410,Huntington Beach Union High,272,527,553,520,164,60.29%
Westminster High,30665483038445,Huntington Beach Union High,274,479,521,472,117,42.7%
Laguna Beach High,30665553033206,Laguna Beach Unified,74,572,585,577,62,83.78%
Early College High,30665970111666,Newport-Mesa Unified,35,463,492,478,11,31.43%
Monte Vista High,30665973030186,Newport-Mesa Unified,1,null,null,null,null,null%
Corona del Mar High,30665973031697,Newport-Mesa Unified,152,570,588,566,115,75.66%
Costa Mesa High,30665973031853,Newport-Mesa Unified,90,480,492,478,37,41.11%
Estancia High,30665973032000,Newport-Mesa Unified,154,455,457,431,41,26.62%
Back Bay High,30665973034907,Newport-Mesa Unified,1,null,null,null,null,null%
Newport Harbor High,30665973035045,Newport-Mesa Unified,249,519,529,514,150,60.24%
OUSD Home Sch,30666210118174,Orange Unified,2,null,null,null,null,null%
Canyon High,30666213030046,Orange Unified,315,533,549,539,204,64.76%
El Modena High,30666213031952,Orange Unified,201,519,533,513,108,53.73%
Orange High,30666213035409,Orange Unified,112,459,478,448,31,27.68%
Villa Park High,30666213038098,Orange Unified,279,515,525,509,158,56.63%
Yorba Linda High,30666470119404,Placentia-Yorba Linda Unified,286,540,571,543,201,70.28%
Esperanza High,30666473030053,Placentia-Yorba Linda Unified,202,533,556,527,129,63.86%
La Entrada High,30666473030483,Placentia-Yorba Linda Unified,2,null,null,null,null,null%
El Dorado High,30666473031929,Placentia-Yorba Linda Unified,224,523,533,504,134,59.82%
El Camino Real Continuation High,30666473031945,Placentia-Yorba Linda Unified,1,null,null,null,null,null%
Valencia High,30666473038023,Placentia-Yorba Linda Unified,307,533,571,532,194,63.19%
Parkview,30666476119556,Placentia-Yorba Linda Unified,6,null,null,null,null,null%
Nova Academy,30666700106567,Santa Ana Unified,66,448,443,448,16,24.24%
Segerstrom High,30666700108365,Santa Ana Unified,302,471,471,463,99,32.78%
Hector G. Godinez,30666700114736,Santa Ana Unified,388,440,457,433,98,25.26%
Cesar E. Chavez High,30666703030475,Santa Ana Unified,1,null,null,null,null,null%
Century High,30666703030491,Santa Ana Unified,183,395,404,395,18,9.84%
Middle College High,30666703030608,Santa Ana Unified,81,497,504,483,34,41.98%
OCSA,30666703030723,Santa Ana Unified,243,590,565,582,198,81.48%
Saddleback High,30666703035821,Santa Ana Unified,182,394,422,397,24,13.19%
Santa Ana High,30666703036357,Santa Ana Unified,239,403,420,401,29,12.13%
Valley High,30666703036456,Santa Ana Unified,226,403,432,415,36,15.93%
El Toro High,30736353030061,Saddleback Valley Unified,298,530,557,521,193,64.77%
Laguna Hills High,30736353030244,Saddleback Valley Unified,188,543,550,527,125,66.49%
Trabuco Hills High,30736353030392,Saddleback Valley Unified,337,535,554,517,216,64.09%
Mira Monte High (Alternative),30736353030509,Saddleback Valley Unified,1,null,null,null,null,null%
Mission Viejo High,30736353034956,Saddleback Valley Unified,338,541,553,528,227,67.16%
Arnold O. Beckman High,30736430102871,Tustin Unified,384,565,595,572,284,73.96%
Foothill High,30736433032109,Tustin Unified,337,532,542,532,218,64.69%
Tustin High,30736433037553,Tustin Unified,305,458,457,453,94,30.82%
Irvine High,30736503030152,Irvine Unified,249,568,609,583,192,77.11%
Woodbridge High,30736503030285,Irvine Unified,373,571,614,577,298,79.89%
Alternative Education-San Joaquin High,30736503030467,Irvine Unified,2,null,null,null,null,null%
Northwood High,30736503030657,Irvine Unified,358,604,656,621,329,91.9%
University High,30736503035102,Irvine Unified,392,617,666,624,355,90.56%
Los Alamitos High,30739243033917,Los Alamitos Unified,517,528,541,517,308,59.57%
CORE Placer Charter,31103140119214,Placer County Office of Education,2,null,null,null,null,null%
John Adams Academy,31668450121418,Loomis Union Elementary,11,594,550,576,8,72.73%
Foresthill High,31668940102293,Placer Union High,17,505,535,490,9,52.94%
Maidu High Independent Study,31668943130135,Placer Union High,3,null,null,null,null,null%
Colfax High,31668943131851,Placer Union High,75,536,527,531,48,64%
Del Oro High,31668943132453,Placer Union High,225,534,545,519,146,64.89%
Placer High,31668943135704,Placer Union High,117,539,542,530,73,62.39%
Antelope High,31669280116459,Roseville Joint Union High,275,485,483,469,107,38.91%
Independence High (Alternative),31669283130119,Roseville Joint Union High,3,null,null,null,null,null%
Woodcreek High,31669283130176,Roseville Joint Union High,313,519,529,501,183,58.47%
Granite Bay High,31669283130184,Roseville Joint Union High,418,555,575,551,314,75.12%
Oakmont High,31669283135308,Roseville Joint Union High,230,527,532,510,136,59.13%
Roseville High,31669283136504,Roseville Joint Union High,264,502,517,493,135,51.14%
North Tahoe High,31669443130010,Tahoe-Truckee Unified,55,518,512,508,34,61.82%
Cold Stream Alternative,31669443130192,Tahoe-Truckee Unified,1,null,null,null,null,null%
Tahoe Truckee High,31669443138500,Tahoe-Truckee Unified,80,533,540,511,46,57.5%
Partnerships for Student-Centered Learning,31669510122507,Western Placer Unified,8,null,null,null,null,null%
Phoenix High (Continuation),31669513130036,Western Placer Unified,1,null,null,null,null,null%
Horizon Charter,31669513130168,Western Placer Unified,16,484,452,456,5,31.25%
Lincoln High,31669513134657,Western Placer Unified,133,492,497,476,52,39.1%
Whitney High,31750850108084,Rocklin Unified,279,523,530,502,168,60.22%
Western Sierra Collegiate Academy,31750850119487,Rocklin Unified,41,571,536,547,31,75.61%
Rocklin Independent Charter Academy,31750850128561,Rocklin Unified,0,null,null,null,null,null%
Rocklin High,31750853130150,Rocklin Unified,283,537,560,527,190,67.14%
Victory High,31750853130200,Rocklin Unified,1,null,null,null,null,null%
Plumas Charter,32669693230083,Plumas Unified,6,null,null,null,null,null%
Chester Junior/Senior High,32669693232006,Plumas Unified,16,481,528,471,7,43.75%
Greenville Junior/Senior High,32669693233509,Plumas Unified,4,null,null,null,null,null%
Portola Junior/Senior High,32669693235603,Plumas Unified,13,516,529,498,8,61.54%
Quincy Junior/Senior High,32669693236007,Plumas Unified,24,550,540,523,20,83.33%
River Springs Charter,33103300110833,Riverside County Office of Education,53,489,458,478,20,37.74%
Riverside County Education Academy,33103300125237,Riverside County Office of Education,1,null,null,null,null,null%
Come Back Kids,33103300128397,Riverside County Office of Education,0,null,null,null,null,null%
Gateway College and Career Academy,33103300128777,Riverside County Office of Education,0,null,null,null,null,null%
California School for the Deaf-Riverside,33316253330834,California School for the Deaf-Riverside (State Sp,1,null,null,null,null,null%
Alvord Alternative Continuation High,33669770126896,Alvord Unified,0,null,null,null,null,null%
La Sierra High,33669773330008,Alvord Unified,298,473,478,458,103,34.56%
Norte Vista High,33669773334299,Alvord Unified,210,439,450,432,47,22.38%
Banning High,33669853330214,Banning Unified,97,419,407,414,14,14.43%
Banning Independent Study,33669853330974,Banning Unified,0,null,null,null,null,null%
21st Century Learning Institute,33669930129882,Beaumont Unified,0,null,null,null,null,null%
Beaumont Senior High,33669933330479,Beaumont Unified,242,474,465,474,90,37.19%
Eleanor Roosevelt High,33670330110627,Corona-Norco Unified,486,486,490,486,218,44.86%
John F. Kennedy High,33670330110759,Corona-Norco Unified,134,509,499,497,70,52.24%
Corona-Norco Alternative,33670333330131,Corona-Norco Unified,0,null,null,null,null,null%
Centennial High,33670333330446,Corona-Norco Unified,418,494,514,482,203,48.56%
Lee V. Pollard High,33670333330586,Corona-Norco Unified,2,null,null,null,null,null%
Santiago High,33670333330701,Corona-Norco Unified,523,498,512,499,259,49.52%
Corona High,33670333331600,Corona-Norco Unified,288,470,480,468,109,37.85%
Norco High,33670333334232,Corona-Norco Unified,258,482,496,476,111,43.02%
Shadow Hills High,33670580118885,Desert Sands Unified,179,436,428,434,36,20.11%
Palm Desert High,33670583330388,Desert Sands Unified,259,516,510,508,137,52.9%
La Quinta High,33670583330669,Desert Sands Unified,397,474,477,462,140,35.26%
Horizon,33670583330909,Desert Sands Unified,2,null,null,null,null,null%
Amistad High (Continuation),33670583331113,Desert Sands Unified,1,null,null,null,null,null%
Indio High,33670583333192,Desert Sands Unified,199,424,403,430,30,15.08%
Hamilton High,33670820106716,Hemet Unified,15,506,506,481,6,40%
Tahquitz High,33670820113159,Hemet Unified,125,443,443,445,34,27.2%
College Prep High,33670820128363,Hemet Unified,13,495,484,463,5,38.46%
Helen Hunt Jackson Alternative High,33670823330503,Hemet Unified,3,null,null,null,null,null%
West Valley High,33670823330537,Hemet Unified,122,460,461,462,39,31.97%
Hemet High,33670823332673,Hemet Unified,199,483,488,470,74,37.19%
Patriot High,33670900114157,Jurupa Unified,173,467,481,463,60,34.68%
Rivercrest Preparatory,33670900127720,Jurupa Unified,2,null,null,null,null,null%
Jurupa Valley High,33670903330412,Jurupa Unified,159,438,447,439,37,23.27%
Rubidoux High,33670903337136,Jurupa Unified,128,434,445,433,28,21.88%
Santa Rosa Academy,33671160109843,Menifee Union Elementary,34,531,506,503,21,61.76%
Moreno Valley Online Academy,33671240128868,Moreno Valley Unified,0,null,null,null,null,null%
Canyon Springs High,33671243330396,Moreno Valley Unified,272,444,443,440,71,26.1%
Valley View High,33671243330438,Moreno Valley Unified,259,440,464,445,65,25.1%
Vista del Lago High,33671243331071,Moreno Valley Unified,199,436,434,424,35,17.59%
Moreno Valley High,33671243333770,Moreno Valley Unified,212,417,421,419,29,13.68%
Nuview Bridge Early College High,33671573331014,Nuview Union,110,473,488,471,41,37.27%
Cathedral City High,33671733330578,Palm Springs Unified,236,443,440,432,56,23.73%
Desert Hot Springs High,33671733330818,Palm Springs Unified,124,432,427,429,25,20.16%
Palm Springs High,33671733335130,Palm Springs Unified,276,458,457,447,89,32.25%
Twin Palms Continuation,33671813331139,Palo Verde Unified,1,null,null,null,null,null%
Palo Verde High,33671813335759,Palo Verde Unified,59,451,462,437,16,27.12%
California Military Institute,33672070101170,Perris Union High,70,437,441,423,13,18.57%
Heritage High,33672070113191,Perris Union High,283,452,448,444,78,27.56%
Perris Lake High (Continuation),33672073330172,Perris Union High,1,null,null,null,null,null%
Paloma Valley High,33672073330727,Perris Union High,213,468,474,450,68,31.92%
Perris High,33672073335973,Perris Union High,199,410,420,410,21,10.55%
Riverside Virtual,33672150115709,Riverside Unified,6,null,null,null,null,null%
Arlington High,33672153330024,Riverside Unified,221,449,453,445,53,23.98%
Summit View Independent Study,33672153330362,Riverside Unified,2,null,null,null,null,null%
Opportunity Program,33672153330511,Riverside Unified,0,null,null,null,null,null%
Martin Luther King Jr. High,33672153330859,Riverside Unified,402,500,524,494,198,49.25%
John W. North High,33672153334406,Riverside Unified,265,461,471,458,85,32.08%
Polytechnic High,33672153336237,Riverside Unified,306,489,484,477,129,42.16%
Ramona High,33672153336492,Riverside Unified,230,440,452,442,48,20.87%
Mountain Heights Academy,33672493331006,San Jacinto Unified,1,null,null,null,null,null%
Mountain View High,33672493337649,San Jacinto Unified,1,null,null,null,null,null%
San Jacinto High,33672493337656,San Jacinto Unified,200,440,432,425,38,19%
San Jacinto Valley Academy,33672496114748,San Jacinto Unified,22,480,498,466,11,50%
Desert Mirage High,33736760100255,Coachella Valley Unified,144,412,404,414,14,9.72%
NOVA Academy - Coachella,33736760121673,Coachella Valley Unified,27,406,408,403,3,11.11%
La Familia Continuation High,33736763330032,Coachella Valley Unified,1,null,null,null,null,null%
West Shores High,33736763330354,Coachella Valley Unified,36,400,399,396,4,11.11%
Coachella Valley High,33736763330990,Coachella Valley Unified,217,408,433,409,29,13.36%
Lakeside High,33751760107920,Lake Elsinore Unified,198,457,460,454,55,27.78%
Keith McCarthy Academy,33751760116343,Lake Elsinore Unified,0,null,null,null,null,null%
Southern California Online Academy,33751760124859,Lake Elsinore Unified,5,null,null,null,null,null%
Temescal Canyon High,33751763330487,Lake Elsinore Unified,204,486,494,472,91,44.61%
Elsinore High,33751763332350,Lake Elsinore Unified,186,483,489,472,70,37.63%
Great Oak High,33751920105734,Temecula Valley Unified,506,523,521,505,291,57.51%
Temecula Valley High,33751923330370,Temecula Valley Unified,352,499,487,485,161,45.74%
Susan H. Nelson,33751923330636,Temecula Valley Unified,3,null,null,null,null,null%
Chaparral High,33751923330743,Temecula Valley Unified,419,501,498,491,196,46.78%
Temecula Preparatory,33751923330917,Temecula Valley Unified,44,548,524,539,30,68.18%
Vista Murrieta High,33752000100420,Murrieta Valley Unified,428,494,495,491,197,46.03%
Tenaja Canyon Academy,33752000102079,Murrieta Valley Unified,3,null,null,null,null,null%
Murrieta Mesa High,33752000118794,Murrieta Valley Unified,309,488,493,478,124,40.13%
Murrieta Valley High,33752003330529,Murrieta Valley Unified,339,512,523,506,185,54.57%
Citrus Hill High,33752420109108,Val Verde Unified,338,415,427,405,43,12.72%
Val Verde Academy,33752420123190,Val Verde Unified,0,null,null,null,null,null%
Rancho Verde High,33752423330552,Val Verde Unified,474,438,441,430,93,19.62%
Val Verde High,33752423330560,Val Verde Unified,2,null,null,null,null,null%
Monterey Trail High,34673140105916,Elk Grove Unified,326,459,471,444,89,27.3%
